filename,width,height,label,xmin,ymin,xmax,ymax
image-100.png,256,256,rbc,0,0,25.19019837,40.8168028
image-100.png,256,256,rbc,15.01050175,0,68.33722287,23.52742124
image-100.png,256,256,rbc,25.01750292,16.0210035,78.37456243,73.73512252
image-100.png,256,256,rbc,75.56592765,1.061843641,140.2485414,45.5915986
image-100.png,256,256,rbc,77.48308051,23.29054842,131.9369895,74.80630105
image-100.png,256,256,rbc,136.2473746,10.93815636,188.277713,69.97199533
image-100.png,256,256,rbc,161.9276546,12.5344224,215.2217036,67.14585764
image-100.png,256,256,rbc,217.1306884,4.381563594,256,63.47607935
image-100.png,256,256,rbc,200.243874,51.90665111,255.3803967,111.4434072
image-100.png,256,256,rbc,147.6732789,67.3302217,201.9089848,122.5775963
image-100.png,256,256,rbc,86.28354726,73.7327888,147.8891482,129.7164527
image-100.png,256,256,rbc,91.87514586,104.2672112,159.6172695,153.3920653
image-100.png,256,256,rbc,0,96.85647608,55.18669778,157.5822637
image-100.png,256,256,rbc,21.56826138,133.3932322,85.63243874,194.5180863
image-100.png,256,256,rbc,0,157.428238,36.13068845,216.57993
image-100.png,256,256,rbc,8.437572929,201.8098016,66.55309218,255.8098016
image-100.png,256,256,rbc,43.61026838,189.495916,105.3465578,244.3185531
image-100.png,256,256,rbc,171.9824971,118.8914819,233.1995333,180.3080513
image-100.png,256,256,rbc,204.1960327,113.0863477,253.5414236,168.8564761
image-100.png,256,256,rbc,147.8004667,193.9451575,206.8471412,247.6872812
image-100.png,256,256,rbc,208.2683781,191.9019837,255.3897316,253.4387398
image-100.png,256,256,wbc,208.2683781,191.9019837,255.3897316,253.4387398
image-100.png,256,256,wbc,89.58926488,148.6336056,158.6347725,221.0781797
image-101.png,256,256,rbc,6.758459743,0,59.26254376,39.29521587
image-101.png,256,256,rbc,56.17736289,0,113.4025671,18.64760793
image-101.png,256,256,rbc,99.11901984,4.852975496,159.957993,65.02917153
image-101.png,256,256,rbc,171.8109685,13.50175029,233.1878646,66.68728121
image-101.png,256,256,rbc,40.12485414,28.87047841,100.3967328,79.80980163
image-101.png,256,256,rbc,2.848308051,42.22403734,67.32322054,91.93815636
image-101.png,256,256,rbc,46.20303384,83.30221704,91.66044341,120.7211202
image-101.png,256,256,rbc,60.8378063,70.07934656,127.1365228,126.1295216
image-101.png,256,256,rbc,0,85.80163361,19.19953326,129.0770128
image-101.png,256,256,rbc,0.753792299,117.495916,49.88448075,171.7596266
image-101.png,256,256,rbc,30.30105018,134.6207701,79.23337223,188.9591599
